etfCode,name,cmp,the20Dma,change20DmaVsCmp,changePercentage,dailyAverageVolumeInLast30Days,dailyAverageVolumeInLast90Days,dailyAverageVolumeInLast365Days,type
NSE:ALPHA,NIFTY Alpha 50,51.24,49.586499999999994,0.03334576951387991,2.32,1355220.1818181819,1790460.5762711863,1352904.7206477732,Equity
NSE:ALPHAETF,NIFTY 200 Alpha 30,25.67,25.421,0.009795051335510063,0.2,528795.5,660957.051724138,616302.6910569106,Equity
NSE:ALPL30IETF,NIFTY Alpha Low-Volatility 30,26.67,26.651000000000003,0.0007129188398182773,0.76,915625.7272727273,1269101.9830508474,1211974.8906882592,Equity
NSE:AUTOBEES,NIFTY Auto,267.32,268.785,-0.005450452964265273,0.02,374018.6818181818,379505.0344827586,316623.2804878049,Equity
NSE:BAJFINANCE,Bajaj Finance Ltd,916.55,930.1299999999999,-0.014600109662090133,0.98,7714185.136363637,9365362.051724138,7495647.174796748,Stocks
NSE:BANKBEES,NIFTY Bank,560.6,563.6945,-0.005489675701997987,1.48,1129633.5,1335105.8305084745,776397.8461538461,Equity
NSE:BFSI,NIFTY Financial Services,26.5,26.563,-0.0023717200617400236,1.42,384089.5909090909,546731.186440678,398502.6275303644,Equity
NSE:BHARTIARTL,Bharti Airtel Ltd,1872.7,1849.4599999999998,0.01256583002606182,-0.67,9548353.363636363,10213179.813559322,7437569.562753037,Stocks
NSE:BSE500IETF,S&P BSE 500,38.27,38.29950000000001,-0.0007702450423636709,0.39,298315.95454545453,412058.4310344828,331687.756097561,Equity
NSE:COMMOIETF,NIFTY Commodities,104.1,104.46750000000002,-0.003517840476703449,-0.04,148415.72727272726,119361.29824561403,146128.73469387754,Equity
NSE:CONSUMBEES,NIFTY India Consumption,125.57,126.554,-0.007775337010288208,0.06,91631.09090909091,145421.28813559323,148993.38461538462,Equity
NSE:CONSUMER,NIFTY India New Age Consumption,10.95,10.958000000000002,-0.0007300602299692427,0.18,217928.72727272726,336674.15789473685,249640.95102040816,Equity
NSE:CPSEETF,CPSE ETF,103.82,106.3045,-0.023371541185932987,-0.82,1550540.0454545454,2065480.8983050848,1608781.7327935223,Equity
NSE:DIVOPPBEES,NIFTY Dividend Opportunities 50 TRI,78.6,78.86350000000002,-0.0033412161519590367,1.07,52002.27272727273,84486.59322033898,77745.46558704453,Equity
NSE:EMULTIMQ,NIFTY 500 Multicap Momentum Quality 50,42.46,42.271,0.004471150434103732,1.48,49091.681818181816,66136.72881355933,71254.71255060729,Equity
NSE:EQUAL50ADD,NIFTY 50 Equal Weight,337.5,336.5224999999999,0.0029047091947791426,0.29,131897.36363636365,167317.89830508476,102448.97165991903,Equity
NSE:ESG,NIFTY 100 ESG SECTOR LEADERS,40.58,40.7165,-0.0033524492527600147,0.69,48997.86363636364,44567.71186440678,31527.44939271255,Equity
NSE:EVINDIA,NIFTY EV and New Age Automotive,30.22,30.162999999999993,0.0018897324536686355,0.47,284432.0,284264.0,247522.2145748988,Equity
NSE:FINIETF,NIFTY Financial Services Ex-Bank,32.28,31.995499999999993,0.008891875419981154,1.19,499342.7272727273,669231.9491525424,592072.3846153846,Equity
NSE:FMCGIETF,NIFTY FMCG,53.65,54.47700000000001,-0.015180718468344678,-0.33,1458395.0909090908,1618914.0350877193,1487846.9795918367,Equity
NSE:GOLDBEES,Nippon India ETF Gold BeES,130.56,126.2885,0.03382334891933958,-0.14,30546835.681818184,48826598.93220339,43342098.55870445,Jewellery
NSE:HDFCBANK,HDFC Bank Ltd,769.0,772.5174999999998,-0.004553294909176553,1.3,33996367.45454545,45564924.152542375,24091797.032388665,Stocks
NSE:HDFCSILVER,HDFC Silver ETF,252.67,242.83200000000002,0.040513606114515266,0.31,4965478.545454546,6972381.847457627,6785538.5951417005,Jewellery
NSE:HDFCSML250,NIFTY Smallcap 250,168.9,169.51799999999997,-0.0036456305525075505,-0.04,2373042.0454545454,2817305.649122807,1592272.2897959184,Equity
NSE:HEALTHIETF,NIFTY Healthcare,160.7,157.44,0.02070630081300817,-1.6,180209.77272727274,148311.16949152542,103132.28744939271,Equity
NSE:HINDUNILVR,Hindustan Unilever Ltd,2205.0,2273.0250000000005,-0.029927079552578895,1.19,1800528.7727272727,2000318.2881355933,1679813.6032388664,Stocks
NSE:ICICIB22,S&P BSE BHARAT 22,120.4,122.75449999999998,-0.01918055957215392,-0.17,608652.2727272727,827492.5789473684,488922.5306122449,Equity
NSE:INFRABEES,NIFTY Infrastructure,967.0,965.1894999999998,0.0018757974470300365,0.18,13374.09090909091,19060.263157894737,14444.277551020408,Equity
