id,etfName,etfType,averagePrice,lastPurchasePrice,totalQuantity,lastPurchaseDate
2f2a55d7-4ac3-4cdf-83f0-91177a0415db,Tata Mutual Fund Tata Gold Exchange Traded Fund,Jewellery,14.609999999999998,14.28,18,2026-05-05T11:58:49.914640
bf68cbd3-5e53-47ef-ab35-9939da54a152,NIFTY IT,Equity,32.87,32.13,18,2026-05-04T13:31:57.580307
148a038a-c84d-4551-b381-332122fb613b,NIFTY Top 10 Equal Weight,Equity,89.55,89.55,5,2026-04-23T13:14:52.298606
f66eccb6-b91c-4350-804b-43721d259a3d,SBI-ETF Gold,Jewellery,127.62,127.62,4,2026-04-28T09:28:20.561846
fd93b3b4-4ae4-43d2-bae4-ef698ae0f1c9,HDFC Silver ETF,Jewellery,228.61,228.61,2,2026-04-28T09:29:22.602746
562bf587-910f-4033-a49c-45708d933b15,NIFTY India Digital,Equity,80.8,80.8,5,2026-04-28T11:55:48.478354
481c11c3-f5bf-4cf7-8d55-d2afa9332b5f,Nippon India Silver ETF,Jewellery,224.85,224.85,2,2026-04-28T12:07:06.564780
64474f5e-e664-49ce-b58b-bed5becd0a2f,HDFC Bank Ltd,Stocks,778.2666666666668,764.8,3,2026-04-30T09:37:49.525745
5e0fa4f3-c739-49e5-91a7-76001245c363,NIFTY 50 Value 20,Equity,14.18,14.18,29,2026-04-29T10:47:02.725948
f6d0185c-adf6-47ab-8444-a76b49e42393,NIFTY PSU Bank,Equity,95.453,93.3,10,2026-05-05T12:57:17.828255
00b3a2e1-2637-4caa-ac60-34bc63bddba8,Bharti Airtel Ltd,Stocks,1838.2,1838.2,1,2026-04-22T12:15:26.799355
7f497ad5-d72a-43d5-af01-90472c2a7b51,NIFTY Bank,Equity,560.52,560.52,1,2026-05-05T11:32:55.976533
e1a24fc3-b199-4738-b8ed-13740621a93d,NIFTY Private Bank,Equity,26.18,26.18,16,2026-05-05T11:36:31.559745
